Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
993,Aquaculture worker,Male,"1,408","33,178",,,,
565,Arborist; Tree surgeon,Female,114,"47,535",,,,
686,Arborist; Tree surgeon,Male,"4,672","51,801",,,,
326,Architect,Female,"4,684","60,947",,,,
231,Architect,Male,"10,601","88,729",,,,
559,Architectural draftsperson; Building designer,Female,"3,020","48,151",,,,
485,Architectural draftsperson; Building designer,Male,"9,688","65,884",,,,
363,Archivist,Female,595,"59,359",,,,
550,Archivist,Male,279,"61,686",,,,
596,Armoured car escort; Payroll guard,Female,134,"46,508",,,,
615,Armoured car escort; Payroll guard,Male,"1,072","56,033",,,,
264,"Art director – film, television or stage",Female,298,"65,185",,,,
338,"Art director – film, television or stage",Male,502,"77,274",,,,
216,Art director – publishing or advertising; Producer – media,Female,"3,455","69,919",,,,
218,Art director – publishing or advertising; Producer – media,Male,"3,280","90,356",,,,
672,Art teacher – private,Female,"1,041","42,025",,,,
818,Art teacher – private,Male,280,"44,878",,,,
283,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar",Female,690,"64,045",,,,
223,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar",Male,286,"89,706",,,,
845,Artist – other visual; Craft worker,Female,872,"34,117",,,,
750,Artist – other visual; Craft worker,Male,779,"48,095",,,,
202,Artistic director,Female,241,"71,377",,,,
312,Artistic director,Male,260,"79,748",,,,
484,Arts administrator; Arts manager,Female,"2,682","51,948",,,,
505,Arts administrator; Arts manager,Male,923,"65,044",,,,
812,Assembler; Assembly line worker,Female,"11,741","35,424",,,,
865,Assembler; Assembly line worker,Male,"23,166","41,975",,,,
369,Associate editor; Newspaper editor; Periodical editor; Sub editor,Female,"1,843","59,025",,,,
264,Associate editor; Newspaper editor; Periodical editor; Sub editor,Male,"1,088","85,189",,,,
810,Athlete,Female,56,"35,453",,,,
713,Athlete,Male,159,"50,110",,,,
629,Auctioneer,Female,56,"44,181",,,,
262,Auctioneer,Male,582,"85,444",,,,
494,Audio engineer; Editor – sound; Sound engineer or technician,Female,362,"51,438",,,,
634,Audio engineer; Editor – sound; Sound engineer or technician,Male,"3,817","54,991",,,,
221,Audiologist,Female,"1,596","69,049",,,,
214,Audiologist,Male,547,"91,877",,,,
469,Author,Female,447,"52,657",,,,
539,Author,Male,351,"62,596",,,,
348,Automotive electrician,Female,62,"59,718",,,,
385,Automotive electrician,Male,"6,748","73,719",,,,
684,Back hoe operator,Female,12,"41,614",,,,
533,Back hoe operator,Male,582,"62,893",,,,
593,Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail,Female,188,"46,699",,,,
655,Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail,Male,"2,278","53,914",,,,
1019,Baggage handler – hotel or motel; Door attendant; Luggage porter,Female,548,"26,162",,,,
938,Baggage handler – hotel or motel; Door attendant; Luggage porter,Male,"1,729","36,487",,,,
799,Baker,Female,"2,341","36,042",,,,
815,Baker,Male,"11,367","45,165",,,,
996,Bakery assistant; Pastry cook’s assistant,Female,"6,706","27,737",,,,
1031,Bakery assistant; Pastry cook’s assistant,Male,"2,720","29,767",,,,
822,Baking factory worker,Female,"2,002","34,903",,,,
888,Baking factory worker,Male,"1,971","40,404",,,,
902,Ballet teacher; Dance teacher – private,Female,"2,097","32,056",,,,
931,Ballet teacher; Dance teacher – private,Male,249,"37,178",,,,
604,Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist,Female,798,"45,752",,,,
725,Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist,Male,"1,193","49,620",,,,
468,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee",Female,"50,140","52,668",,,,
183,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee",Male,"21,425","96,812",,,,
71,Bank manager; Financial institution branch manager,Female,"8,517","99,447",,,,
60,Bank manager; Financial institution branch manager,Male,"12,166","151,095",,,,
993,Bar useful or busser,Female,"1,302","27,850",,,,
1083,Bar useful or busser,Male,"1,369","24,913",,,,
943,Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser,Female,"30,011","30,323",,,,
906,Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser,Male,"3,873","39,030",,,,
1063,Barista,Female,"15,588","23,240",,,,
1080,Barista,Male,"7,248","25,229",,,,
360,Barrister,Female,777,"59,436",,,,
53,Barrister,Male,797,"168,766",,,,
1000,Bartender,Female,"33,993","27,450",,,,
1035,Bartender,Male,"29,291","29,511",,,,
575,Basketballer,Female,54,"47,246",,,,
840,Basketballer,Male,129,"43,191",,,,
956,Beautician; Beauty therapist; Manicurist,Female,"16,399","29,682",,,,
1036,Beautician; Beauty therapist; Manicurist,Male,252,"29,510",,,,
1064,Beauty salon assistant; Hair salon assistant,Female,"2,893","23,085",,,,
1074,Beauty salon assistant; Hair salon assistant,Male,218,"25,628",,,,
704,Beauty salon manager; Hair salon manager,Female,"2,534","40,826",,,,
733,Beauty salon manager; Hair salon manager,Male,458,"49,005",,,,
1080,Bed and breakfast owner operator,Female,20,"20,842",,,,
1088,Bed and breakfast owner operator,Male,18,"23,990",,,,
757,Bedding and mattress maker; Furniture upholsterer; Upholsterer,Female,242,"38,370",,,,
837,Bedding and mattress maker; Furniture upholsterer; Upholsterer,Male,"1,716","43,652",,,,
